                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 2.2234,                 1.8168,                 2.5419,                0.53121,                0.23077,                0.30797,                0.07337,                 2.2146,                  3.522,                 2.8055,              0.0015446,              0.0015446,              0.0015446
                     71,                 2.1601,                 2.0737,                 2.5936,                0.53121,                0.23077,                0.30797,                0.07337,                 2.2146,                  3.522,                 2.8055,               0.001538,               0.001538,               0.001538
                     72,                 2.0833,                 2.0386,                 2.5526,                0.42054,                0.23077,                0.23553,                0.06285,                 2.1906,                 3.8772,                 2.8311,              0.0015314,              0.0015314,              0.0015314
                     73,                 2.0777,                 1.9034,                 2.5504,                0.42054,                0.23077,                0.23553,                0.06285,                 2.1906,                 3.8772,                 2.8311,              0.0015248,              0.0015248,              0.0015248
                     74,                 2.3222,                 1.8013,                 2.6835,                0.67454,                0.26923,                0.32178,                0.12092,                 2.1259,                 3.7784,                 2.6651,              0.0015182,              0.0015182,              0.0015182
                     75,                 2.0907,                 2.0012,                 2.6087,                0.67454,                0.26923,                0.32178,                0.12092,                 2.1259,                 3.7784,                 2.6651,              0.0015116,              0.0015116,              0.0015116
                     76,                 2.2725,                 2.1455,                 2.7139,                0.69657,                0.30769,                0.42953,                0.21603,                 1.8598,                 2.8455,                 2.3922,               0.001505,               0.001505,               0.001505
                     77,                 2.1395,                 1.9737,                 2.5313,                0.69657,                0.30769,                0.42953,                0.21603,                 1.8598,                 2.8455,                 2.3922,              0.0014984,              0.0014984,              0.0014984
                     78,                 2.0737,                  1.791,                 2.4539,                0.55465,                0.73077,                0.66594,                0.34241,                 1.7399,                  2.101,                 2.2614,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.9078,                 1.7137,                 2.4165,                0.55465,                0.73077,                0.66594,                0.34241,                 1.7399,                  2.101,                 2.2614,              0.0014852,              0.0014852,              0.0014852
                     80,                 2.0393,                 1.7489,                 2.5145,                0.55111,                0.73077,                0.66567,                0.31579,                 1.7491,                 2.4901,                  2.311,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.9164,                 1.7141,                 2.4536,                0.55111,                0.73077,                0.66567,                0.31579,                 1.7491,                 2.4901,                  2.311,               0.001472,               0.001472,               0.001472
                     82,                  1.866,                 1.8254,                 2.3994,                0.62245,                0.76923,                0.69294,                0.34466,                 1.7053,                 2.6829,                  2.289,              0.0014654,              0.0014654,              0.0014654
                     83,                 2.2073,                 2.0919,                 2.6448,                0.62245,                0.76923,                0.69294,                0.34466,                 1.7053,                 2.6829,                  2.289,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.9395,                 1.7839,                 2.4936,                0.56922,                0.92308,                0.77787,                0.47961,                 1.5988,                 1.9849,                 2.1243,              0.0014522,              0.0014522,              0.0014522
                     85,                 2.1455,                   1.76,                 2.5157,                0.56922,                0.92308,                0.77787,                0.47961,                 1.5988,                 1.9849,                 2.1243,              0.0014456,              0.0014456,              0.0014456
                     86,                 2.2099,                 1.7141,                 2.4802,                0.62838,                0.80769,                0.79114,                0.48405,                 1.5416,                 2.1082,                 2.0591,               0.001439,               0.001439,               0.001439
                     87,                 2.0557,                 1.7893,                 2.5075,                0.62838,                0.80769,                0.79114,                0.48405,                 1.5416,                 2.1082,                 2.0591,              0.0014324,              0.0014324,              0.0014324
                     88,                  1.908,                 1.9559,                 2.4829,                0.56461,                0.92308,                0.78393,                 0.4553,                 1.5828,                 2.2445,                 2.1282,              0.0014258,              0.0014258,              0.0014258
                     89,                 2.0711,                  1.884,                 2.5639,                0.56461,                0.92308,                0.78393,                 0.4553,                 1.5828,                 2.2445,                 2.1282,              0.0014192,              0.0014192,              0.0014192
                     90,                 2.3101,                 1.8624,                 2.6633,                0.91048,                 0.7827,                0.88728,                0.48136,                 1.6033,                 2.6463,                 2.1439,              0.0014126,              0.0014126,              0.0014126
                     91,                 2.1027,                 1.7405,                 2.4613,                0.91048,                 0.7827,                0.88728,                0.48136,                 1.6033,                 2.6463,                 2.1439,               0.001406,               0.001406,               0.001406
                     92,                  2.109,                 1.7855,                 2.6427,                  0.429,                0.61538,                0.45397,                 0.1405,                 1.8775,                 11.901,                 2.4189,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.9071,                 1.6691,                 2.4494,                  0.429,                0.61538,                0.45397,                 0.1405,                 1.8775,                 11.901,                 2.4189,              0.0013928,              0.0013928,              0.0013928
                     94,                 2.0055,                 1.7048,                 2.3799,                0.76593,                0.61538,                0.72496,                0.30687,                  1.806,                 8.5556,                 2.3178,              0.0013862,              0.0013862,              0.0013862
                     95,                  2.008,                 1.6233,                 2.4579,                0.76593,                0.61538,                0.72496,                0.30687,                  1.806,                 8.5556,                 2.3178,              0.0013796,              0.0013796,              0.0013796
                     96,                 2.0245,                 1.6836,                 2.5139,                0.67568,                0.80769,                0.81161,                 0.4811,                 1.5189,                 3.3871,                 2.0685,               0.001373,               0.001373,               0.001373
                     97,                 1.9827,                 1.5631,                 2.4765,                0.67568,                0.80769,                0.81161,                 0.4811,                 1.5189,                 3.3871,                 2.0685,              0.0013664,              0.0013664,              0.0013664
                     98,                 2.0988,                 1.5386,                 2.5713,                0.52125,                0.57692,                0.57613,                0.32554,                 1.5389,                 3.8124,                 2.1397,              0.0013598,              0.0013598,              0.0013598
                     99,                 2.0629,                  1.652,                 2.5026,                0.52125,                0.57692,                0.57613,                0.32554,                 1.5389,                 3.8124,                 2.1397,              0.0013532,              0.0013532,              0.0013532
                    100,                 2.0175,                 1.5441,                 2.5147,                0.51161,                0.69231,                0.63549,                0.36957,                 1.4842,                  2.738,                 2.1033,              0.0013466,              0.0013466,              0.0013466
                    101,                  1.887,                 1.8232,                 2.5903,                0.51161,                0.69231,                0.63549,                0.36957,                 1.4842,                  2.738,                 2.1033,                0.00134,                0.00134,                0.00134
                    102,                 1.6485,                 1.7595,                 2.4497,                0.47955,                0.57692,                0.53915,                0.31858,                 1.6535,                 2.3475,                 2.1955,              0.0013334,              0.0013334,              0.0013334
